id,title,body,department,sentiment
176,Check-in veloce e professional,Check-in veloce e professionale davvero.,Reception,pos
369,Piatti curati e personale gent,Piatti curati e personale gentile decisamente.,F&B,pos
438,Personale distratto al ristora,Personale distratto al ristorante davvero.,F&B,neg
434,Esperienza culinaria deludente,Esperienza culinaria deludente decisamente.,F&B,neg
319,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido molto.,F&B,pos
29,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente decisamente.,Housekeeping,pos
390,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità molto.,F&B,neg
31,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche molto.,Housekeeping,pos
94,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi assolutamente.,Housekeeping,neg
364,Piatti curati e personale gent,Piatti curati e personale gentile assolutamente.,F&B,pos
162,Personale gentile e accoglient,Personale gentile e accogliente!.,Reception,pos
27,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente decisamente.,Housekeeping,pos
265,Errore nella prenotazione.,Errore nella prenotazione assolutamente.,Reception,neg
106,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso davvero.,Housekeeping,neg
331,Ristorante pulito e accoglient,Ristorante pulito e accogliente molto.,F&B,pos
34,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche assolutamente.,Housekeeping,pos
317,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido!.,F&B,pos
324,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido davvero.,F&B,pos
313,Colazione abbondante e buoniss,Colazione abbondante e buonissima molto.,F&B,pos
191,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente assolutamente.,Reception,pos
109,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso!.,Housekeeping,neg
149,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque molto.,Housekeeping,neg
188,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente davvero.,Reception,pos
240,Attesa lunga al check-in.,Attesa lunga al check-in assolutamente.,Reception,neg
359,Esperienza gastronomica eccell,Esperienza gastronomica eccellente molto.,F&B,pos
391,Cibo freddo e servizio lento.,Cibo freddo e servizio lento assolutamente.,F&B,neg
429,Esperienza culinaria deludente,Esperienza culinaria deludente..,F&B,neg
295,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione..,Reception,neg
249,Personale scortese e poco disp,Personale scortese e poco disponibile!.,Reception,neg
322,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido davvero.,F&B,pos
419,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato..,F&B,neg
68,Camera luminosa,"Camera luminosa, fresca e confortevole!.",Housekeeping,pos
4,Camera pulita e profumata.,Camera pulita e profumata decisamente.,Housekeeping,pos
300,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione..,Reception,neg
124,Cattivo odore in stanza.,Cattivo odore in stanza..,Housekeeping,neg
206,Ottimo servizio alla reception,Ottimo servizio alla reception decisamente.,Reception,pos
352,Esperienza gastronomica eccell,Esperienza gastronomica eccellente!.,F&B,pos
325,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido molto.,F&B,pos
237,Attesa lunga al check-in.,Attesa lunga al check-in!.,Reception,neg
12,Camera pulita e profumata.,Camera pulita e profumata decisamente.,Housekeeping,pos
248,Personale scortese e poco disp,Personale scortese e poco disponibile decisamente.,Reception,neg
132,Cattivo odore in stanza.,Cattivo odore in stanza decisamente.,Housekeeping,neg
79,Camera sporca e maleodorante.,Camera sporca e maleodorante decisamente.,Housekeeping,neg
97,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi..,Housekeeping,neg
235,Attesa lunga al check-in.,Attesa lunga al check-in..,Reception,neg
256,Errore nella prenotazione.,Errore nella prenotazione..,Reception,neg
201,Ottimo servizio alla reception,Ottimo servizio alla reception!.,Reception,pos
404,Cibo freddo e servizio lento.,Cibo freddo e servizio lento davvero.,F&B,neg
167,Check-in veloce e professional,Check-in veloce e professionale davvero.,Reception,pos
349,Esperienza gastronomica eccell,Esperienza gastronomica eccellente..,F&B,pos
290,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione..,Reception,neg
247,Personale scortese e poco disp,Personale scortese e poco disponibile decisamente.,Reception,neg
59,Servizio pulizie eccellente.,Servizio pulizie eccellente!.,Housekeeping,pos
392,Cibo freddo e servizio lento.,Cibo freddo e servizio lento assolutamente.,F&B,neg
450,Personale distratto al ristora,Personale distratto al ristorante..,F&B,neg
203,Ottimo servizio alla reception,Ottimo servizio alla reception assolutamente.,Reception,pos
194,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente davvero.,Reception,pos
270,Errore nella prenotazione.,Errore nella prenotazione..,Reception,neg
54,Servizio pulizie eccellente.,Servizio pulizie eccellente decisamente.,Housekeeping,pos
416,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato davvero.,F&B,neg
302,Colazione abbondante e buoniss,Colazione abbondante e buonissima molto.,F&B,pos
83,Camera sporca e maleodorante.,Camera sporca e maleodorante davvero.,Housekeeping,neg
387,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità davvero.,F&B,neg
9,Camera pulita e profumata.,Camera pulita e profumata decisamente.,Housekeeping,pos
365,Piatti curati e personale gent,Piatti curati e personale gentile!.,F&B,pos
226,Attesa lunga al check-in.,Attesa lunga al check-in davvero.,Reception,neg
164,Personale gentile e accoglient,Personale gentile e accogliente assolutamente.,Reception,pos
268,Errore nella prenotazione.,Errore nella prenotazione molto.,Reception,neg
45,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche!.,Housekeeping,pos
144,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque!.,Housekeeping,neg
215,Esperienza piacevole al check-,Esperienza piacevole al check-out..,Reception,pos
73,Camera luminosa,"Camera luminosa, fresca e confortevole!.",Housekeeping,pos
294,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione molto.,Reception,neg
222,Esperienza piacevole al check-,Esperienza piacevole al check-out decisamente.,Reception,pos
421,Esperienza culinaria deludente,Esperienza culinaria deludente!.,F&B,neg
330,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido decisamente.,F&B,pos
88,Camera sporca e maleodorante.,Camera sporca e maleodorante decisamente.,Housekeeping,neg
389,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità!.,F&B,neg
269,Errore nella prenotazione.,Errore nella prenotazione molto.,Reception,neg
151,Personale gentile e accoglient,Personale gentile e accogliente!.,Reception,pos
233,Attesa lunga al check-in.,Attesa lunga al check-in molto.,Reception,neg
32,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche..,Housekeeping,pos
81,Camera sporca e maleodorante.,Camera sporca e maleodorante..,Housekeeping,neg
396,Cibo freddo e servizio lento.,Cibo freddo e servizio lento..,F&B,neg
89,Camera sporca e maleodorante.,Camera sporca e maleodorante decisamente.,Housekeeping,neg
439,Personale distratto al ristora,Personale distratto al ristorante!.,F&B,neg
10,Camera pulita e profumata.,Camera pulita e profumata!.,Housekeeping,pos
272,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception!.,Reception,neg
366,Piatti curati e personale gent,Piatti curati e personale gentile assolutamente.,F&B,pos
199,Ottimo servizio alla reception,Ottimo servizio alla reception davvero.,Reception,pos
51,Servizio pulizie eccellente.,Servizio pulizie eccellente assolutamente.,Housekeeping,pos
49,Servizio pulizie eccellente.,Servizio pulizie eccellente davvero.,Housekeeping,pos
332,Ristorante pulito e accoglient,Ristorante pulito e accogliente..,F&B,pos
274,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception molto.,Reception,neg
251,Personale scortese e poco disp,Personale scortese e poco disponibile!.,Reception,neg
245,Personale scortese e poco disp,Personale scortese e poco disponibile!.,Reception,neg
423,Esperienza culinaria deludente,Esperienza culinaria deludente decisamente.,F&B,neg
175,Check-in veloce e professional,Check-in veloce e professionale decisamente.,Reception,pos
28,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente decisamente.,Housekeeping,pos
413,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato!.,F&B,neg
42,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche..,Housekeeping,pos
153,Personale gentile e accoglient,Personale gentile e accogliente molto.,Reception,pos
185,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente assolutamente.,Reception,pos
95,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi decisamente.,Housekeeping,neg
327,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido decisamente.,F&B,pos
425,Esperienza culinaria deludente,Esperienza culinaria deludente..,F&B,neg
447,Personale distratto al ristora,Personale distratto al ristorante..,F&B,neg
30,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente assolutamente.,Housekeeping,pos
412,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato assolutamente.,F&B,neg
246,Personale scortese e poco disp,Personale scortese e poco disponibile!.,Reception,neg
250,Personale scortese e poco disp,Personale scortese e poco disponibile..,Reception,neg
232,Attesa lunga al check-in.,Attesa lunga al check-in assolutamente.,Reception,neg
220,Esperienza piacevole al check-,Esperienza piacevole al check-out..,Reception,pos
52,Servizio pulizie eccellente.,Servizio pulizie eccellente davvero.,Housekeeping,pos
336,Ristorante pulito e accoglient,Ristorante pulito e accogliente!.,F&B,pos
202,Ottimo servizio alla reception,Ottimo servizio alla reception..,Reception,pos
11,Camera pulita e profumata.,Camera pulita e profumata decisamente.,Housekeeping,pos
18,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente!.,Housekeeping,pos
443,Personale distratto al ristora,Personale distratto al ristorante davvero.,F&B,neg
323,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido molto.,F&B,pos
14,Camera pulita e profumata.,Camera pulita e profumata!.,Housekeeping,pos
225,Esperienza piacevole al check-,Esperienza piacevole al check-out decisamente.,Reception,pos
444,Personale distratto al ristora,Personale distratto al ristorante!.,F&B,neg
312,Colazione abbondante e buoniss,Colazione abbondante e buonissima molto.,F&B,pos
346,Esperienza gastronomica eccell,Esperienza gastronomica eccellente molto.,F&B,pos
65,Camera luminosa,"Camera luminosa, fresca e confortevole assolutamente.",Housekeeping,pos
204,Ottimo servizio alla reception,Ottimo servizio alla reception!.,Reception,pos
72,Camera luminosa,"Camera luminosa, fresca e confortevole davvero.",Housekeeping,pos
166,Check-in veloce e professional,Check-in veloce e professionale decisamente.,Reception,pos
436,Personale distratto al ristora,Personale distratto al ristorante assolutamente.,F&B,neg
173,Check-in veloce e professional,Check-in veloce e professionale!.,Reception,pos
386,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità molto.,F&B,neg
230,Attesa lunga al check-in.,Attesa lunga al check-in davvero.,Reception,neg
411,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato decisamente.,F&B,neg
402,Cibo freddo e servizio lento.,Cibo freddo e servizio lento..,F&B,neg
67,Camera luminosa,"Camera luminosa, fresca e confortevole decisamente.",Housekeeping,pos
321,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido molto.,F&B,pos
47,Servizio pulizie eccellente.,Servizio pulizie eccellente molto.,Housekeeping,pos
119,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso decisamente.,Housekeeping,neg
35,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche davvero.,Housekeeping,pos
361,Piatti curati e personale gent,Piatti curati e personale gentile assolutamente.,F&B,pos
310,Colazione abbondante e buoniss,Colazione abbondante e buonissima..,F&B,pos
430,Esperienza culinaria deludente,Esperienza culinaria deludente decisamente.,F&B,neg
376,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità decisamente.,F&B,neg
339,Ristorante pulito e accoglient,Ristorante pulito e accogliente assolutamente.,F&B,pos
145,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque..,Housekeeping,neg
375,Piatti curati e personale gent,Piatti curati e personale gentile..,F&B,pos
403,Cibo freddo e servizio lento.,Cibo freddo e servizio lento davvero.,F&B,neg
7,Camera pulita e profumata.,Camera pulita e profumata..,Housekeeping,pos
398,Cibo freddo e servizio lento.,Cibo freddo e servizio lento davvero.,F&B,neg
160,Personale gentile e accoglient,Personale gentile e accogliente decisamente.,Reception,pos
33,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche molto.,Housekeeping,pos
372,Piatti curati e personale gent,Piatti curati e personale gentile assolutamente.,F&B,pos
43,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche..,Housekeeping,pos
186,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente..,Reception,pos
104,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi..,Housekeeping,neg
174,Check-in veloce e professional,Check-in veloce e professionale decisamente.,Reception,pos
435,Esperienza culinaria deludente,Esperienza culinaria deludente davvero.,F&B,neg
303,Colazione abbondante e buoniss,Colazione abbondante e buonissima assolutamente.,F&B,pos
282,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception decisamente.,Reception,neg
8,Camera pulita e profumata.,Camera pulita e profumata..,Housekeeping,pos
255,Personale scortese e poco disp,Personale scortese e poco disponibile assolutamente.,Reception,neg
112,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso davvero.,Housekeeping,neg
304,Colazione abbondante e buoniss,Colazione abbondante e buonissima!.,F&B,pos
217,Esperienza piacevole al check-,Esperienza piacevole al check-out assolutamente.,Reception,pos
252,Personale scortese e poco disp,Personale scortese e poco disponibile!.,Reception,neg
57,Servizio pulizie eccellente.,Servizio pulizie eccellente!.,Housekeeping,pos
383,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità decisamente.,F&B,neg
140,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque assolutamente.,Housekeeping,neg
189,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente..,Reception,pos
192,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente!.,Reception,pos
138,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque..,Housekeeping,neg
263,Errore nella prenotazione.,Errore nella prenotazione decisamente.,Reception,neg
277,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception molto.,Reception,neg
193,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente assolutamente.,Reception,pos
440,Personale distratto al ristora,Personale distratto al ristorante!.,F&B,neg
371,Piatti curati e personale gent,Piatti curati e personale gentile assolutamente.,F&B,pos
2,Camera pulita e profumata.,Camera pulita e profumata!.,Housekeeping,pos
123,Cattivo odore in stanza.,Cattivo odore in stanza molto.,Housekeeping,neg
351,Esperienza gastronomica eccell,Esperienza gastronomica eccellente assolutamente.,F&B,pos
148,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque decisamente.,Housekeeping,neg
394,Cibo freddo e servizio lento.,Cibo freddo e servizio lento!.,F&B,neg
6,Camera pulita e profumata.,Camera pulita e profumata..,Housekeeping,pos
179,Check-in veloce e professional,Check-in veloce e professionale assolutamente.,Reception,pos
150,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque assolutamente.,Housekeeping,neg
353,Esperienza gastronomica eccell,Esperienza gastronomica eccellente..,F&B,pos
285,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception!.,Reception,neg
314,Colazione abbondante e buoniss,Colazione abbondante e buonissima molto.,F&B,pos
214,Esperienza piacevole al check-,Esperienza piacevole al check-out assolutamente.,Reception,pos
420,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato davvero.,F&B,neg
16,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente molto.,Housekeeping,pos
228,Attesa lunga al check-in.,Attesa lunga al check-in decisamente.,Reception,neg
120,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso molto.,Housekeeping,neg
309,Colazione abbondante e buoniss,Colazione abbondante e buonissima!.,F&B,pos
85,Camera sporca e maleodorante.,Camera sporca e maleodorante decisamente.,Housekeeping,neg
105,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi decisamente.,Housekeeping,neg
107,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso!.,Housekeeping,neg
17,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente!.,Housekeeping,pos
278,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception molto.,Reception,neg
181,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente decisamente.,Reception,pos
40,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche davvero.,Housekeeping,pos
178,Check-in veloce e professional,Check-in veloce e professionale..,Reception,pos
326,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido decisamente.,F&B,pos
441,Personale distratto al ristora,Personale distratto al ristorante decisamente.,F&B,neg
442,Personale distratto al ristora,Personale distratto al ristorante molto.,F&B,neg
340,Ristorante pulito e accoglient,Ristorante pulito e accogliente!.,F&B,pos
426,Esperienza culinaria deludente,Esperienza culinaria deludente davvero.,F&B,neg
139,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque..,Housekeeping,neg
305,Colazione abbondante e buoniss,Colazione abbondante e buonissima!.,F&B,pos
374,Piatti curati e personale gent,Piatti curati e personale gentile davvero.,F&B,pos
86,Camera sporca e maleodorante.,Camera sporca e maleodorante davvero.,Housekeeping,neg
70,Camera luminosa,"Camera luminosa, fresca e confortevole decisamente.",Housekeeping,pos
61,Camera luminosa,"Camera luminosa, fresca e confortevole davvero.",Housekeeping,pos
74,Camera luminosa,"Camera luminosa, fresca e confortevole..",Housekeeping,pos
183,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente decisamente.,Reception,pos
363,Piatti curati e personale gent,Piatti curati e personale gentile assolutamente.,F&B,pos
345,Ristorante pulito e accoglient,Ristorante pulito e accogliente assolutamente.,F&B,pos
71,Camera luminosa,"Camera luminosa, fresca e confortevole..",Housekeeping,pos
62,Camera luminosa,"Camera luminosa, fresca e confortevole decisamente.",Housekeeping,pos
337,Ristorante pulito e accoglient,Ristorante pulito e accogliente assolutamente.,F&B,pos
415,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato assolutamente.,F&B,neg
367,Piatti curati e personale gent,Piatti curati e personale gentile!.,F&B,pos
200,Ottimo servizio alla reception,Ottimo servizio alla reception..,Reception,pos
328,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido assolutamente.,F&B,pos
142,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque!.,Housekeeping,neg
127,Cattivo odore in stanza.,Cattivo odore in stanza..,Housekeeping,neg
133,Cattivo odore in stanza.,Cattivo odore in stanza assolutamente.,Housekeeping,neg
231,Attesa lunga al check-in.,Attesa lunga al check-in molto.,Reception,neg
289,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione!.,Reception,neg
397,Cibo freddo e servizio lento.,Cibo freddo e servizio lento assolutamente.,F&B,neg
229,Attesa lunga al check-in.,Attesa lunga al check-in decisamente.,Reception,neg
446,Personale distratto al ristora,Personale distratto al ristorante davvero.,F&B,neg
259,Errore nella prenotazione.,Errore nella prenotazione molto.,Reception,neg
307,Colazione abbondante e buoniss,Colazione abbondante e buonissima assolutamente.,F&B,pos
163,Personale gentile e accoglient,Personale gentile e accogliente decisamente.,Reception,pos
273,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception decisamente.,Reception,neg
69,Camera luminosa,"Camera luminosa, fresca e confortevole!.",Housekeeping,pos
417,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato decisamente.,F&B,neg
63,Camera luminosa,"Camera luminosa, fresca e confortevole assolutamente.",Housekeeping,pos
399,Cibo freddo e servizio lento.,Cibo freddo e servizio lento..,F&B,neg
26,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente..,Housekeeping,pos
238,Attesa lunga al check-in.,Attesa lunga al check-in davvero.,Reception,neg
266,Errore nella prenotazione.,Errore nella prenotazione molto.,Reception,neg
409,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato davvero.,F&B,neg
113,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso!.,Housekeeping,neg
218,Esperienza piacevole al check-,Esperienza piacevole al check-out assolutamente.,Reception,pos
55,Servizio pulizie eccellente.,Servizio pulizie eccellente molto.,Housekeeping,pos
3,Camera pulita e profumata.,Camera pulita e profumata!.,Housekeeping,pos
293,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione assolutamente.,Reception,neg
125,Cattivo odore in stanza.,Cattivo odore in stanza davvero.,Housekeeping,neg
373,Piatti curati e personale gent,Piatti curati e personale gentile davvero.,F&B,pos
254,Personale scortese e poco disp,Personale scortese e poco disponibile!.,Reception,neg
197,Ottimo servizio alla reception,Ottimo servizio alla reception!.,Reception,pos
100,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi davvero.,Housekeeping,neg
213,Esperienza piacevole al check-,Esperienza piacevole al check-out molto.,Reception,pos
234,Attesa lunga al check-in.,Attesa lunga al check-in!.,Reception,neg
38,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche decisamente.,Housekeeping,pos
244,Personale scortese e poco disp,Personale scortese e poco disponibile..,Reception,neg
126,Cattivo odore in stanza.,Cattivo odore in stanza..,Housekeeping,neg
24,Stanza impeccabile e accoglien,Stanza impeccabile e accogliente!.,Housekeeping,pos
414,Piatti sporchi e buffet limita,Piatti sporchi e buffet limitato decisamente.,F&B,neg
433,Esperienza culinaria deludente,Esperienza culinaria deludente decisamente.,F&B,neg
102,Bagno con muffa e asciugamani ,Bagno con muffa e asciugamani sporchi decisamente.,Housekeeping,neg
116,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso decisamente.,Housekeeping,neg
333,Ristorante pulito e accoglient,Ristorante pulito e accogliente..,F&B,pos
121,Cattivo odore in stanza.,Cattivo odore in stanza molto.,Housekeeping,neg
48,Servizio pulizie eccellente.,Servizio pulizie eccellente!.,Housekeeping,pos
172,Check-in veloce e professional,Check-in veloce e professionale molto.,Reception,pos
264,Errore nella prenotazione.,Errore nella prenotazione assolutamente.,Reception,neg
146,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque decisamente.,Housekeeping,neg
44,Bagno ordinato e lenzuola fres,Bagno ordinato e lenzuola fresche davvero.,Housekeeping,pos
87,Camera sporca e maleodorante.,Camera sporca e maleodorante decisamente.,Housekeeping,neg
243,Personale scortese e poco disp,Personale scortese e poco disponibile assolutamente.,Reception,neg
355,Esperienza gastronomica eccell,Esperienza gastronomica eccellente assolutamente.,F&B,pos
110,Lenzuola macchiate e pavimento,Lenzuola macchiate e pavimento appiccicoso davvero.,Housekeeping,neg
308,Colazione abbondante e buoniss,Colazione abbondante e buonissima!.,F&B,pos
449,Personale distratto al ristora,Personale distratto al ristorante davvero.,F&B,neg
239,Attesa lunga al check-in.,Attesa lunga al check-in!.,Reception,neg
165,Personale gentile e accoglient,Personale gentile e accogliente davvero.,Reception,pos
356,Esperienza gastronomica eccell,Esperienza gastronomica eccellente!.,F&B,pos
297,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione..,Reception,neg
341,Ristorante pulito e accoglient,Ristorante pulito e accogliente decisamente.,F&B,pos
424,Esperienza culinaria deludente,Esperienza culinaria deludente assolutamente.,F&B,neg
147,Pulizie scadenti e polvere ovu,Pulizie scadenti e polvere ovunque..,Housekeeping,neg
156,Personale gentile e accoglient,Personale gentile e accogliente assolutamente.,Reception,pos
347,Esperienza gastronomica eccell,Esperienza gastronomica eccellente assolutamente.,F&B,pos
281,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception decisamente.,Reception,neg
208,Ottimo servizio alla reception,Ottimo servizio alla reception!.,Reception,pos
155,Personale gentile e accoglient,Personale gentile e accogliente molto.,Reception,pos
292,Problemi con il pagamento e po,Problemi con il pagamento e poca organizzazione..,Reception,neg
316,Cibo delizioso e servizio rapi,Cibo delizioso e servizio rapido molto.,F&B,pos
90,Camera sporca e maleodorante.,Camera sporca e maleodorante!.,Housekeeping,neg
195,Staff disponibile e sempre sor,Staff disponibile e sempre sorridente molto.,Reception,pos
216,Esperienza piacevole al check-,Esperienza piacevole al check-out davvero.,Reception,pos
382,Colazione scarsa e di bassa qu,Colazione scarsa e di bassa qualità..,F&B,neg
431,Esperienza culinaria deludente,Esperienza culinaria deludente davvero.,F&B,neg
284,Accoglienza fredda e confusion,Accoglienza fredda e confusione alla reception!.,Reception,neg
152,Personale gentile e accoglient,Personale gentile e accogliente molto.,Reception,pos
207,Ottimo servizio alla reception,Ottimo servizio alla reception molto.,Reception,pos
168,Check-in veloce e professional,Check-in veloce e professionale!.,Reception,pos
210,Ottimo servizio alla reception,Ottimo servizio alla reception..,Reception,pos
159,Personale gentile e accoglient,Personale gentile e accogliente!.,Reception,pos
260,Errore nella prenotazione.,Errore nella prenotazione..,Reception,neg
154,Personale gentile e accoglient,Personale gentile e accogliente assolutamente.,Reception,pos
